beta_0_init,xi_init,k_init,lambda_init,f_1_init,f_2_init,dif,beta_0_fit,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,rmse
5,0.057,1,0.5,0.3,0.4,0.2857142857142857,2.9905801059772785,5.1686842247877784e-6,0.7605836741684965,0.3041084706521494,8.605836522956878e-6,0.9998978231259072,47.84611156287218
10,0.057,1,0.5,0.3,0.4,0.2857142857142857,6.950843669339326,0.05218713292262578,0.4320701558137163,0.25736647452541517,0.9797988336185628,0.7808806224025702,7.679299121022306
15,0.057,1,0.5,0.3,0.4,0.2857142857142857,9.517724040401383,0.07701000214256648,0.38519396392525335,0.1716169489163883,0.8704994377307664,0.8013444131542957,7.253799169060529
20,0.057,1,0.5,0.3,0.4,0.2857142857142857,7.684912180102614,0.05987834822591798,0.40647427628137867,0.22232171481351376,0.9306202255653266,0.78697899640182,7.410109083404494
5,0.025,1,0.5,0.3,0.4,0.2857142857142857,5.518600120163026,0.02949162183216303,0.3047566674331903,0.2789411309835746,0.8520483349041443,0.8309378726140642,8.699970003860527
10,0.025,1,0.5,0.3,0.4,0.2857142857142857,8.348850315011084,0.06603097200382219,0.3834280219525864,0.19646764422649438,0.8879261876047999,0.792653337225943,7.2691862023429765
15,0.025,1,0.5,0.3,0.4,0.2857142857142857,5.429024943962157,0.028190149432600897,0.30706875720581805,0.27712431829990414,0.8581234067280747,0.11710102074667855,9.914465437336043
20,0.025,1,0.5,0.3,0.4,0.2857142857142857,4.240488197823917,0.0018413505027199961,2.9877825421617605,6.994969660384436,0.9668663075078096,0.7793818059896092,18.933805428478937
5,0.1,1,0.5,0.3,0.4,0.2857142857142857,2.457584027988473,0.030149622807430276,0.3456021585406225,0.45520139227009176,0.8863905302865426,0.9856315170693053,47.952706852893144
10,0.1,1,0.5,0.3,0.4,0.2857142857142857,6.281184099819601,0.04261073483894584,0.39719666867790054,0.2781055408176121,0.9458506154949289,0.7819955934750531,7.684336851513475
15,0.1,1,0.5,0.3,0.4,0.2857142857142857,6.296602241863713,0.04284202532933984,0.3951734620852194,0.2794058653684077,0.9468272577547407,0.7738997681570632,7.686871801003818
20,0.1,1,0.5,0.3,0.4,0.2857142857142857,7.262935544743621,0.05528700070379028,0.41209495143040686,0.23900248491249576,0.9454344880611014,0.793101903262595,7.488049737276665
5,0.057,2,0.5,0.3,0.4,0.2857142857142857,10.05186022146248,0.08071328716533094,0.3563786972188673,0.1536425364767618,0.8311199660686361,0.77213890850013,7.255498030800152
10,0.057,2,0.5,0.3,0.4,0.2857142857142857,10.986658270482344,0.08901276194318292,0.3954065199220425,0.15102393216210996,0.854746468805153,0.852129134563993,7.363149497008534
15,0.057,2,0.5,0.3,0.4,0.2857142857142857,7.757268322902437,0.05944237610513842,0.3619915696299114,0.20654284287846442,0.8766706611277928,0.8150602957619342,7.34473304456261
20,0.057,2,0.5,0.3,0.4,0.2857142857142857,7.218388771569673,0.055124389345844294,0.42434041610475165,0.243997977111925,0.9619112577315474,0.7838547461622831,7.568692173029517
5,0.025,2,0.5,0.3,0.4,0.2857142857142857,7.339249692283751,0.05622708277523891,0.41330093700837,0.23434068244527795,0.9461122789922286,0.7810528832562931,7.483712202542209
10,0.025,2,0.5,0.3,0.4,0.2857142857142857,7.694388012973821,0.05970704795807902,0.40027957009754794,0.217240649859462,0.9216878928666583,0.7906641119554949,7.376016919219911
15,0.025,2,0.5,0.3,0.4,0.2857142857142857,5.83587634647063,0.03505053172479128,0.3300635362961979,0.26821865399290545,0.8808214782769825,0.7781834993136518,8.085031384341837
20,0.025,2,0.5,0.3,0.4,0.2857142857142857,5.651972579365722,0.03246378996373095,0.3474558489998908,0.283491420687887,0.898463629981898,0.7721111712383457,8.143997053636777
5,0.1,2,0.5,0.3,0.4,0.2857142857142857,1.9228310752128963,7.302068933956463e-7,0.028807507623989648,4.836651923412205e-7,0.9999998246153852,0.999999933079438,47.56968473263431
10,0.1,2,0.5,0.3,0.4,0.2857142857142857,6.050879510395076,0.04011214598278684,0.4200716367860079,0.2999244817730656,0.9790182180512083,0.7770279484679559,7.859252608491435
15,0.1,2,0.5,0.3,0.4,0.2857142857142857,6.929867503180831,0.051774957312315684,0.42773552274125487,0.2563225543011932,0.970942413021143,0.7823495034961235,7.627060175136366
20,0.1,2,0.5,0.3,0.4,0.2857142857142857,7.360017634615719,0.05515883472450106,0.36304784716595695,0.21401123987627285,0.8888048413002805,0.034416429704491824,8.933082166512234
5,0.057,2.5,0.5,0.3,0.4,0.2857142857142857,7.382635054641089,0.05689394835066841,0.4196958902297168,0.23684040551740365,0.9527351425606738,0.7846281003717724,7.518663164578001
10,0.057,2.5,0.5,0.3,0.4,0.2857142857142857,5.6591587337715215,0.03417902723104277,0.40414536272875595,0.31112763545364297,0.9634413528547643,0.7663297497692472,8.047546120454744
15,0.057,2.5,0.5,0.3,0.4,0.2857142857142857,6.936560029355863,0.05207135567864385,0.4345504280636368,0.25833591509777193,0.9802289712780454,0.7803293284620104,7.680974841771938
20,0.057,2.5,0.5,0.3,0.4,0.2857142857142857,7.219052148506524,0.05515314115651987,0.424717504585216,0.2439238486709151,0.9620009911704421,0.784115713015276,7.569283140040988
5,0.025,2.5,0.5,0.3,0.4,0.2857142857142857,6.8655260258434865,0.05134809801561452,0.4399691690793462,0.26212288386921295,0.9882416025456142,0.7795043249892469,7.733083517930266
