beta_0_init,xi_init,k_init,lambda_init,dif,f_1,f_2,beta_0_fit,xi_fit,k_fit,lambda_fit,rmse
5,0.057,1,0.5,0.2857142857142857,1,1,7.860188820396086,0.06337486722749847,0.4704110817898406,0.22484502476739499,9.16273213454358
10,0.057,1,0.5,0.2857142857142857,1,1,7.832149438936247,0.0630564834210422,0.47008431709318066,0.22549374114597348,9.162529022762417
15,0.057,1,0.5,0.2857142857142857,1,1,7.8129135380722525,0.06284867775761555,0.46958178618727636,0.2259954493174986,9.162588843435378
20,0.057,1,0.5,0.2857142857142857,1,1,7.816223861060408,0.06287318995864405,0.46976083882028236,0.22598260469653936,9.162555744368952
5,0.025,1,0.5,0.2857142857142857,1,1,7.817117557653073,0.06287984026761179,0.46981418891440463,0.2260125651962241,9.162555037073794
10,0.025,1,0.5,0.2857142857142857,1,1,7.8223874920830605,0.06294564441525363,0.4703357583739129,0.2257638446247182,9.162568751778563
15,0.025,1,0.5,0.2857142857142857,1,1,7.828781397829894,0.06301292069130715,0.4700176173762995,0.22559766544674542,9.162536976837863
20,0.025,1,0.5,0.2857142857142857,1,1,4.104836864129391,0.00042006488830775845,2.997920686965162,6.908945162762185,20.16692312457634
5,0.1,1,0.5,0.2857142857142857,1,1,7.8222811251898605,0.06294363716497986,0.4700675463854986,0.22584412322536246,9.162604525241928
10,0.1,1,0.5,0.2857142857142857,1,1,7.849266653677757,0.06324348956754294,0.470609181785527,0.22535355332807433,9.162726976547388
15,0.1,1,0.5,0.2857142857142857,1,1,7.830469811881031,0.06303466610181052,0.4699934969579515,0.22561291313160836,9.162535922547976
20,0.1,1,0.5,0.2857142857142857,1,1,7.832874877744311,0.06305168328773364,0.4703184978887471,0.22550632748393806,9.162547147827677
5,0.057,2,0.5,0.2857142857142857,1,1,7.818150215179789,0.06289972110755654,0.46997730488787043,0.2259029396358549,9.162546319859649
10,0.057,2,0.5,0.2857142857142857,1,1,7.819923050883181,0.06291454616210329,0.4700931784506365,0.22586567220968695,9.162553977676733
15,0.057,2,0.5,0.2857142857142857,1,1,7.827657423106,0.06300887812099087,0.4699902222901271,0.22560049851463804,9.16253411098759
20,0.057,2,0.5,0.2857142857142857,1,1,7.835859237234894,0.06309263693579703,0.4701534479753509,0.22545904129258088,9.162533650785074
5,0.025,2,0.5,0.2857142857142857,1,1,7.820372418897774,0.06292612588792251,0.4702022548542573,0.2258479022417369,9.162563230501318
10,0.025,2,0.5,0.2857142857142857,1,1,7.833064076852294,0.0630659202276202,0.4701977583470947,0.22575525249135148,9.162559587829135
15,0.025,2,0.5,0.2857142857142857,1,1,7.833137580616983,0.06305927538230682,0.4701286887777213,0.22555264574935913,9.162534786550458
20,0.025,2,0.5,0.2857142857142857,1,1,7.839380844572174,0.06310814105523105,0.4704973697501624,0.2255516509515716,9.162657611972785
5,0.1,2,0.5,0.2857142857142857,1,1,7.831276636533094,0.06304382447229417,0.4699731529089704,0.2254528298879036,9.162542106935515
10,0.1,2,0.5,0.2857142857142857,1,1,7.837214414181446,0.06308543772657726,0.4702073527745061,0.22487324074207476,9.162824319223738
15,0.1,2,0.5,0.2857142857142857,1,1,7.828866725640509,0.06301614049096604,0.4699533466791848,0.22563278044360724,9.162539246500316
20,0.1,2,0.5,0.2857142857142857,1,1,7.835453360719196,0.06309376543144257,0.4703991943917309,0.22549976918117082,9.162537141340861
5,0.057,2.5,0.5,0.2857142857142857,1,1,7.814337882174067,0.06285986048788833,0.46965557407555836,0.22590379901092417,9.162579924256988
10,0.057,2.5,0.5,0.2857142857142857,1,1,7.811948058320068,0.06283129819898475,0.4697405095220962,0.22623387646714177,9.162640290864244
15,0.057,2.5,0.5,0.2857142857142857,1,1,7.832295547887407,0.06305420619543306,0.47012112761109365,0.2255451803598192,9.16253272566372
20,0.057,2.5,0.5,0.2857142857142857,1,1,4.106779424468073,2.338151218533313e-4,2.984300395334565,6.604713238162366,20.145752922356927
