beta_0_init,f_1_init,f_2_init,xi_fit,k_fit,lambda_fit,dif,beta_0_fit,f_1_fit,f_2_fit,rmse
5,0.3,0.4,0,0,0,0.2857142857142857,4.145366702225594,0.5960049249280691,0.791189876768394,17.18621731166892
10,0.3,0.4,0,0,0,0.2857142857142857,9.054087721402873,0.9999485558412403,0.5775825473140368,90.30915869876603
15,0.3,0.4,0,0,0,0.2857142857142857,39.99998982434845,0.9999980400747079,6.823038077308219e-7,89.75731737208436
20,0.3,0.4,0,0,0,0.2857142857142857,39.99999849535682,0.9999998397485618,5.346721954069267e-8,89.75730841691552
25,0.3,0.4,0,0,0,0.2857142857142857,39.99999849535689,0.9999998397485618,5.346721954069267e-8,89.75730841691282
5,0.5,0.4,0,0,0,0.2857142857142857,4.147624443573765,0.5960625260151687,0.7865674665509801,17.18661789888802
10,0.5,0.4,0,0,0,0.2857142857142857,9.054427706225974,0.9999743936890065,0.5788664856912931,90.30907899398338
15,0.5,0.4,0,0,0,0.2857142857142857,39.999996107481586,0.9999990686402314,2.5151874899487225e-7,89.7573095437477
20,0.5,0.4,0,0,0,0.2857142857142857,39.999996189968094,0.999999033506322,1.4041426443789362e-7,89.75730984080141
25,0.5,0.4,0,0,0,0.2857142857142857,39.99999624213492,0.9999990468217481,1.3849135566124104e-7,89.75730975223071
5,0.7,0.4,0,0,0,0.2857142857142857,4.147028853179904,0.5956168190569098,0.7903831842733013,17.18596806785663
10,0.7,0.4,0,0,0,0.2857142857142857,9.05458888558053,0.9999919237774708,1.6564818949127424e-5,90.4635229789602
15,0.7,0.4,0,0,0,0.2857142857142857,39.999998258310484,0.9999995832463519,1.1254105175551032e-7,89.75730761139255
20,0.7,0.4,0,0,0,0.2857142857142857,39.99999869091501,0.999999667932175,4.8243579631179756e-8,89.7573075324573
25,0.7,0.4,0,0,0,0.2857142857142857,39.999998690915064,0.999999667932175,4.8243579631179756e-8,89.75730753125887
5,0.9,0.4,0,0,0,0.2857142857142857,4.147323639973859,0.5955884317814786,0.7893420686199599,17.186090576217044
10,0.9,0.4,0,0,0,0.2857142857142857,9.054459331082152,0.9999735096336907,0.5790433234966343,90.3090761375067
15,0.9,0.4,0,0,0,0.2857142857142857,39.999997444732614,0.9999995864171656,1.1342602507236066e-7,89.75730813331839
20,0.9,0.4,0,0,0,0.2857142857142857,39.99999744473283,0.9999995864171656,1.1342602507236066e-7,89.75730813330861
25,0.9,0.4,0,0,0,0.2857142857142857,39.99999744473304,0.9999995864171656,1.1342602507236066e-7,89.75730813330746
5,0.3,0.6,0,0,0,0.2857142857142857,4.146551095931176,0.5957390046990365,0.7906551184374687,17.185991437259
10,0.3,0.6,0,0,0,0.2857142857142857,9.05411058612139,0.9999929540721875,6.869918912077999e-6,90.4635245048499
15,0.3,0.6,0,0,0,0.2857142857142857,39.99998982434845,0.9999980400747079,6.823047581372421e-7,89.75731737208424
20,0.3,0.6,0,0,0,0.2857142857142857,39.99999743322549,0.9999997148637566,1.5093787231190703e-7,89.75730871413411
25,0.3,0.6,0,0,0,0.2857142857142857,39.9999974332257,0.9999997148637566,1.5093787231190703e-7,89.75730871437723
5,0.5,0.6,0,0,0,0.2857142857142857,4.14756086268139,0.5954614537524389,0.7898737637458182,17.18603931958515
10,0.5,0.6,0,0,0,0.2857142857142857,9.053542151205118,0.9999497407479798,0.579038869737264,90.3091502452645
15,0.5,0.6,0,0,0,0.2857142857142857,39.999996107481586,0.9999990686402314,2.5151887811381e-7,89.75730954374768
20,0.5,0.6,0,0,0,0.2857142857142857,39.99999861658309,0.9999996690134506,8.938956214121774e-8,89.75730757385878
25,0.5,0.6,0,0,0,0.2857142857142857,39.999996107482566,0.9999990686402314,2.5151887811381e-7,89.75730954376593
5,0.7,0.6,0,0,0,0.2857142857142857,4.146524628437003,0.5959239402426592,0.7907587629312192,17.18603555251876
10,0.7,0.6,0,0,0,0.2857142857142857,9.054086912674846,0.9999931605340029,1.3652031942090748e-5,90.46352563397983
15,0.7,0.6,0,0,0,0.2857142857142857,39.99999650822572,0.9999994348212363,1.5499745337210769e-7,89.75731023891241
20,0.7,0.6,0,0,0,0.2857142857142857,39.99999825831058,0.9999995832463519,1.1254107756819565e-7,89.75730761141168
25,0.7,0.6,0,0,0,0.2857142857142857,39.99999825831068,0.9999995832463519,1.1254107756819565e-7,89.7573076114264
5,0.9,0.6,0,0,0,0.2857142857142857,4.146871110885002,0.595588251924717,0.7907497454519827,17.1860492508597
10,0.9,0.6,0,0,0,0.2857142857142857,9.054669629004358,0.99994983130817094,0.5784025736755509,90.30914631723704
15,0.9,0.6,0,0,0,0.2857142857142857,39.999997444732614,0.9999995864171656,1.1342605127362404e-7,89.75730813331839
20,0.9,0.6,0,0,0,0.2857142857142857,39.99999744473283,0.9999995864171656,1.1342605127362404e-7,89.75730813330861
25,0.9,0.6,0,0,0,0.2857142857142857,39.999998321106474,0.9999995739185853,6.187246343047903e-8,89.75730758418632
5,0.3,0.8,0,0,0,0.2857142857142857,4.148075482504212,0.5954389861030303,0.7918782570005782,17.18620164532456
10,0.3,0.8,0,0,0,0.2857142857142857,9.05461869681282,0.999974554114434,4.596719769117685e-5,90.46358525721507
15,0.3,0.8,0,0,0,0.2857142857142857,39.999998057939095,0.999999784246291,1.1420383544402668e-7,89.75730872568262
20,0.3,0.8,0,0,0,0.2857142857142857,39.99999805793921,0.999999784246291,1.1420383544402668e-7,89.75730872568896
25,0.3,0.8,0,0,0,0.2857142857142857,39.9999987724329,0.9999999152204614,6.881053593588149e-8,89.75730759234317
5,0.5,0.8,0,0,0,0.2857142857142857,4.146695706314882,0.5955820448172247,0.7905481154546382,17.185994629160472
10,0.5,0.8,0,0,0,0.2857142857142857,9.05405974617462,0.9999907131715146,1.509278174510742e-5,90.46352506012593
15,0.5,0.8,0,0,0,0.2857142857142857,39.999997404265855,0.9999997116277828,1.5264296371331199e-7,89.7573087253917
20,0.5,0.8,0,0,0,0.2857142857142857,39.99999805793921,0.9999997842463972,1.1420383544402668e-7,89.757308725698
25,0.5,0.8,0,0,0,0.2857142857142857,39.999997404266296,0.9999997116277828,1.5264296371331199e-7,89.75730872441297
5,0.7,0.8,0,0,0,0.2857142857142857,4.146281300900205,0.5958934167831196,0.7909802207200198,17.18603734988277
