beta_0_init,xi_init,f_1_init,f_2_init,dif,k,lambda_,beta_0_fit,xi_fit,f_1_fit,f_2_fit,rmse
5,0.057,0.3,0.6,0.2857142857142857,0,0,1.7430350000068118,1.720443864039467e-7,0.9999951733284181,1.2923337100456678e-7,47.98861746557546
10,0.057,0.3,0.6,0.2857142857142857,0,0,4.085147950719019,2.3562092365536635e-6,0.48374743488980904,1.2306650990501211e-6,85.74158262191546
15,0.057,0.3,0.6,0.2857142857142857,0,0,39.999925354427,0.11249964969362963,0.9999994241335952,6.08990011641275e-7,254.43452300213428
20,0.057,0.3,0.6,0.2857142857142857,0,0,39.99986572244895,0.11251963385411401,3.230349466254445e-7,3.980952442139696e-7,254.40112294073953
5,0.025,0.3,0.6,0.2857142857142857,0,0,4.086679629901315,9.246101011606278e-6,0.4836621545680815,0.9999910590925448,85.69786872262071
10,0.025,0.3,0.6,0.2857142857142857,0,0,4.087157470065838,1.538398251343942e-6,0.48292197841209006,0.9999971320151726,85.69330977920862
15,0.025,0.3,0.6,0.2857142857142857,0,0,39.99989662797145,0.11249741928116858,0.9999996921494649,1.8092203825648134e-6,254.43452729031316
20,0.025,0.3,0.6,0.2857142857142857,0,0,39.99999990392921,3.031588369228899e-9,0.99999998675608,4.5758386968408615e-8,247.19757431920252
5,0.1,0.3,0.6,0.2857142857142857,0,0,1.7432417240743825,2.094805868213534e-7,0.9999969967818849,1.4616027715907975e-7,47.98858917250413
10,0.1,0.3,0.6,0.2857142857142857,0,0,4.088018870310273,3.344313416864253e-6,0.4826426189155777,0.999996673534361,85.694582882385
15,0.1,0.3,0.6,0.2857142857142857,0,0,4.0857150015230985,2.7071028396719043e-6,0.48361446588746443,9.151429494480556e-6,85.74163311223361
20,0.1,0.3,0.6,0.2857142857142857,0,0,4.084773454126571,3.708818539893688e-6,0.4838349198422727,0.9999993523134852,85.69471590076206
5,0.057,0.7,0.6,0.2857142857142857,0,0,4.086656756699865,3.5407427100841993e-6,0.4833853295743647,0.9999921441792758,85.69403354327389
10,0.057,0.7,0.6,0.2857142857142857,0,0,4.08590079587432,3.182000173851396e-6,0.4838798669994535,0.9999934737225983,85.69444953036235
15,0.057,0.7,0.6,0.2857142857142857,0,0,39.99994263648297,0.11249690332860779,0.9999996914520743,4.177021044049489e-7,254.43452228968198
20,0.057,0.7,0.6,0.2857142857142857,0,0,39.99995694279629,0.11249935709062236,0.999999478323176,1.6744726020756495e-6,254.43451868776984
5,0.025,0.7,0.6,0.2857142857142857,0,0,4.085302877591184,7.3308983923325854e-6,0.4839776094440462,0.9999975821136753,85.69679907142627
10,0.025,0.7,0.6,0.2857142857142857,0,0,1.7430877558588098,5.054935093284918e-7,0.9999990067254743,1.2801187467270658e-6,47.98860815214964
15,0.025,0.7,0.6,0.2857142857142857,0,0,39.9998989190629,0.11251656728218568,2.63950744983088e-7,1.02778408583859e-6,254.4011192227363
20,0.025,0.7,0.6,0.2857142857142857,0,0,39.99999990392921,3.031588369228899e-9,0.9999999867560808,4.5758386968408615e-8,247.19757431919717
5,0.1,0.7,0.6,0.2857142857142857,0,0,1.7430175282705118,6.303361955728448e-7,0.9999998162029677,2.3599984516620154e-7,47.98861736579555
10,0.1,0.7,0.6,0.2857142857142857,0,0,4.086714859777869,9.896877919468583e-6,0.48372587896911673,0.9999846020228431,85.69788014808624
15,0.1,0.7,0.6,0.2857142857142857,0,0,4.087142845195187,3.031523516050516e-6,0.4831432538298409,0.9999963406189838,85.6937473247132
20,0.1,0.7,0.6,0.2857142857142857,0,0,4.0870915326165935,5.613751191790861e-6,0.4832789300538381,0.9999968021818948,85.69550231011905
5,0.057,0.3,1,0.2857142857142857,0,0,5,0.9999999999999998,0.3,1,52.53173901048733
10,0.057,0.3,1,0.2857142857142857,0,0,10,0.9999999999999998,0.3,1,52.531738871425695
15,0.057,0.3,1,0.2857142857142857,0,0,15,0.9999999999999998,0.3,1,52.53173873260123
20,0.057,0.3,1,0.2857142857142857,0,0,20,0.9999999999999998,0.3,1,52.531738592063334
5,0.025,0.3,1,0.2857142857142857,0,0,5,0.9999999999999998,0.3,1,52.53173901048733
10,0.025,0.3,1,0.2857142857142857,0,0,39.999999999999986,0.9999999999999997,1.6653345369377348e-16,1,52.531738354317746
15,0.025,0.3,1,0.2857142857142857,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
20,0.025,0.3,1,0.2857142857142857,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
5,0.1,0.3,1,0.2857142857142857,0,0,5,0.9999999999999998,0.3,1,52.53173901048733
10,0.1,0.3,1,0.2857142857142857,0,0,10,0.9999999999999998,0.3,1,52.531738871425695
15,0.1,0.3,1,0.2857142857142857,0,0,15,0.9999999999999998,0.3,1,52.53173873260123
20,0.1,0.3,1,0.2857142857142857,0,0,20,0.9999999999999998,0.3,1,52.531738592063334
5,0.057,0.7,1,0.2857142857142857,0,0,5,0.9999999999999998,0.7,1,52.53173892580017
10,0.057,0.7,1,0.2857142857142857,0,0,10,0.9999999999999998,0.7,1,52.53173870403323
15,0.057,0.7,1,0.2857142857142857,0,0,15,0.9999999999999998,0.7,1,52.53173848235993
20,0.057,0.7,1,0.2857142857142857,0,0,20,0.9999999999999998,0.7,1,52.53173825882625
5,0.025,0.7,1,0.2857142857142857,0,0,5,0.9999999999999998,0.7,1,52.53173892580017
10,0.025,0.7,1,0.2857142857142857,0,0,39.999999999999986,0.9999999999999997,1.6653345369377348e-16,1,52.531738354317746
15,0.025,0.7,1,0.2857142857142857,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
20,0.025,0.7,1,0.2857142857142857,0,0,39.999999999999986,0.9999999999999997,0.9999999999999997,1,52.53173663031627
5,0.1,0.7,1,0.2857142857142857,0,0,5,0.9999999999999998,0.7,1,52.53173892580017
10,0.1,0.7,1,0.2857142857142857,0,0,10,0.9999999999999998,0.7,1,52.53173870403323
15,0.1,0.7,1,0.2857142857142857,0,0,15,0.9999999999999998,0.7,1,52.53173848235993
20,0.1,0.7,1,0.2857142857142857,0,0,20,0.9999999999999998,0.7,1,52.53173825882625
5,0.057,0.3,0.6,0.7142857142857143,0,0,3.760221290246142,1.243405143913634e-5,0.4511343198809228,0.9999900205303405,79.98096756141732
10,0.057,0.3,0.6,0.7142857142857143,0,0,3.763601692741121,8.765001705324238e-6,0.44991601316618846,6.078080396654251e-6,80.04966374302236
15,0.057,0.3,0.6,0.7142857142857143,0,0,39.99989453704628,0.11250639786506716,1.6834551259503616e-5,2.46035943740619e-6,254.55818101238845
20,0.057,0.3,0.6,0.7142857142857143,0,0,39.99968049730772,0.11250692361690573,8.594008555073973e-6,2.1903440685089315e-6,254.55820588331528
5,0.025,0.3,0.6,0.7142857142857143,0,0,3.760503826698638,3.1154233869346015e-6,0.45103356534383265,1.0548989667902298e-6,80.04526955012894
10,0.025,0.3,0.6,0.7142857142857143,0,0,3.7594792873482064,4.5946583482892045e-6,0.45258695389611653,0.9999977097181345,79.97633552371683
15,0.025,0.3,0.6,0.7142857142857143,0,0,39.988572440061006,0.11246423941464406,0.9999704893572137,6.268964001632238e-6,254.43607917986654
20,0.025,0.3,0.6,0.7142857142857143,0,0,39.99999990392921,3.031588369228899e-9,0.99999998675608,4.5758386968408615e-8,247.19757428300542
5,0.1,0.3,0.6,0.7142857142857143,0,0,1.7431735104693113,9.114469309845497e-7,0.9999995948864526,6.799477536567622e-8,47.98862059827526
10,0.1,0.3,0.6,0.7142857142857143,0,0,3.759872037526535,3.751709279908866e-6,0.4512418577222721,5.591562649009951e-7,80.04564931148379
15,0.1,0.3,0.6,0.7142857142857143,0,0,3.7613566770951357,4.427234982118389e-6,0.45097880729610984,0.9999982770861926,79.9750355467969
20,0.1,0.3,0.6,0.7142857142857143,0,0,3.814566291837853,0.0010844649518438332,0.4434379937543492,0.051947897701942636,80.81502529567749
5,0.057,0.7,0.6,0.7142857142857143,0,0,3.7610370266000515,4.7848846145837065e-6,0.4510982676366159,1.619926276552608e-5,80.04612057228681
10,0.057,0.7,0.6,0.7142857142857143,0,0,3.7622385923236923,9.962212190184339e-6,0.45092216306708893,0.9999975665803605,79.97897397531332
15,0.057,0.7,0.6,0.7142857142857143,0,0,39.99987493267048,0.11249720434809773,0.9999985313460488,1.5509164533189512e-6,254.4345322629213
20,0.057,0.7,0.6,0.7142857142857143,0,0,39.99979445772159,0.11250872505364784,5.529046956109784e-6,1.409088715764728e-6,254.55819416472534
