beta_0_init,k_init,lambda_init,xi_fit,f_1_fit,f_2_fit,dif,beta_0_fit,k_fit,lambda_fit,rmse
5,1,0.5,0,1,1,0,3.446118429681677,0.5138561876856735,0.2764094399240778,14.393470280383726
10,1,0.5,0,1,1,0,3.446029634345873,0.513953325412164,0.2763749746397118,14.393480024355487
15,1,0.5,0,1,1,0,3.4463596651745965,0.5136509417843487,0.27635796761122067,14.393474080842749
20,1,0.5,0,1,1,0,3.446166537041011,0.513768467230086,0.27635111149924463,14.39348042073064
25,1,0.5,0,1,1,0,3.446549745262355,0.5138336278486457,0.27643578938966884,14.393482065705982
30,1,0.5,0,1,1,0,3.4465369936498713,0.5136897270763419,0.2762820023098692,14.393478035501326
35,1,0.5,0,1,1,0,3.4462529769939843,0.5139282377879416,0.27642882035826627,14.393471083574358
5,2,0.5,0,1,1,0,3.4464518430000624,0.5136859429957139,0.2762834073910632,14.39347579917624
10,2,0.5,0,1,1,0,3.4462576852288618,0.5137339190879906,0.2763865160708989,14.393474322214978
15,2,0.5,0,1,1,0,3.44627790540444,0.5137370386252759,0.276408448802419,14.393475371766817
20,2,0.5,0,1,1,0,3.446261162409814,0.5138149083400092,0.27640374236831994,14.393479394352058
25,2,0.5,0,1,1,0,3.446334285068726,0.5137380343538988,0.276320819791575,14.39347512195847
30,2,0.5,0,1,1,0,3.446082264833805,0.5138747438847953,0.2764166928011708,14.393471820538426
35,2,0.5,0,1,1,0,3.4462850655526323,0.513868534330342,0.27641515843823156,14.393467248160833
5,2.5,0.5,0,1,1,0,3.4458697221094403,0.5137951678326881,0.27653808594852314,14.393494774546742
10,2.5,0.5,0,1,1,0,3.44612834229747,0.513867036549337,0.27641250604665935,14.39347026379027
15,2.5,0.5,0,1,1,0,3.446353720455131,0.5138140853697029,0.2764245076823335,14.393480962718792
20,2.5,0.5,0,1,1,0,3.446370214313974,0.5139345513134599,0.27635873808896727,14.393471058034207
25,2.5,0.5,0,1,1,0,3.4466781450229966,0.5137440175559512,0.27639118995938816,14.393482533468209
30,2.5,0.5,0,1,1,0,3.446455162734814,0.5139190270209378,0.27631945377090533,14.393476150867425
35,2.5,0.5,0,1,1,0,3.446338919719152,0.513928450658177,0.27634271165794744,14.39347148501773
5,1,1,0,1,1,0,3.4461875064251424,0.5138986920285635,0.2763890452850797,14.393469742194592
10,1,1,0,1,1,0,3.446133021017832,0.5138143563762649,0.2763626556223739,14.393472527995499
15,1,1,0,1,1,0,3.4461962712772154,0.5139411763065207,0.2764636297531099,14.393474621509483
20,1,1,0,1,1,0,3.446544511343328,0.5135130001427286,0.27640333781668774,14.393497493654621
25,1,1,0,1,1,0,3.4468212371807416,0.5136570955998124,0.2764048037589291,14.393502808643552
30,1,1,0,1,1,0,3.44631840783181,0.5139141582262476,0.2763453625622181,14.393470633204014
35,1,1,0,1,1,0,3.446309986554348,0.5139595388766987,0.27638622126417683,14.393471671554812
5,2,1,0,1,1,0,3.446276343408783,0.5139010655371954,0.2763853093415739,14.393468944125761
10,2,1,0,1,1,0,3.446219902967851,0.5138397231258278,0.27637725403089153,14.3934661901722
15,2,1,0,1,1,0,3.446102294704163,0.5138566985694724,0.2763983084919318,14.393470418532377
20,2,1,0,1,1,0,3.446473959358718,0.513961672004867,0.2763590623077789,14.393473992143619
25,2,1,0,1,1,0,3.4465337490622727,0.513516982383585,0.2762789589849883,14.39349026664434
30,2,1,0,1,1,0,3.4473274426128464,0.5147364641831731,0.2770564552699966,14.393979475981624
35,2,1,0,1,1,0,3.4462267669301694,0.5139014554650789,0.2764747032744023,14.393474660329602
5,2.5,1,0,1,1,0,3.446180039236366,0.5138794525795958,0.27640075226412353,14.393469270481361
10,2.5,1,0,1,1,0,3.44628982414648,0.5139157231461354,0.2764355244801107,14.393471157211117
15,2.5,1,0,1,1,0,3.4461616385063687,0.5138667907678974,0.276408384008978,14.393469510399225
20,2.5,1,0,1,1,0,3.446418197301,0.5136450303794056,0.27629941254735235,14.393476175589536
25,2.5,1,0,1,1,0,3.445966516252228,0.5137736741834369,0.27642798641383765,14.393470822971702
30,2.5,1,0,1,1,0,3.4462768706824076,0.5139312267852738,0.27637436569842255,14.393470429850316
35,2.5,1,0,1,1,0,3.600838124824599,2.877074322167461,1.5453867496647438,33.80647435556925
