beta_0_init,xi_init,k_fit,lambda_fit,f_1_fit,f_2_fit,dif,beta_0_fit,xi_fit,rmse
5,0.057,0,0,1,1,0,1.6005931597477763,6.884222616410085e-7,50.87864430503478
10,0.057,0,0,1,1,0,2.2615048375100244,0.06941158367748868,51.98411168778326
15,0.057,0,0,1,1,0,39.998757284149036,0.11247646137915185,268.9343603903028
20,0.057,0,0,1,1,0,39.999499811881044,0.11247970957699827,268.93430035334984
25,0.057,0,0,1,1,0,1.5999709723987743,1.0357452341069884e-5,50.879171876130684
30,0.057,0,0,1,1,0,39.99999989153555,2.2860817128211863e-9,263.89738929237535
35,0.057,0,0,1,1,0,39.99999989153555,2.2860817128211863e-9,263.89738929237535
5,0.025,0,0,1,1,0,1.6004339899491615,2.4247161373169845e-7,50.87862263003973
10,0.025,0,0,1,1,0,1.600738678125011,3.833782638773542e-5,50.88026826819386
15,0.025,0,0,1,1,0,39.99989603427584,0.11247499925676957,268.93427347099714
20,0.025,0,0,1,1,0,39.99999992048225,1.6759733045823566e-9,263.89738860037824
25,0.025,0,0,1,1,0,39.99999992048225,1.6759733045823566e-9,263.89738860037824
30,0.025,0,0,1,1,0,39.99999995284044,9.9397173825011e-10,263.89738783624796
35,0.025,0,0,1,1,0,39.99999995284044,9.9397173825011e-10,263.89738783624796
5,0.1,0,0,1,1,0,1.6004102107729712,2.548702645044365e-7,50.87862415539628
10,0.1,0,0,1,1,0,1.6005182869781809,2.1138586375757384e-7,50.87862068194918
15,0.1,0,0,1,1,0,1.601477670539424,2.038945778060075e-5,50.87971394143849
20,0.1,0,0,1,1,0,1.7545440345603192,0.01844975353864925,51.443989124730045
25,0.1,0,0,1,1,0,39.85128687633177,0.11216598074129663,268.9451015699487
30,0.1,0,0,1,1,0,39.9990569692907,0.11247780611587804,268.9343461678935
35,0.1,0,0,1,1,0,39.99891318120939,0.11247645500102427,268.93435283376994
