beta_0_init,xi_init,k_init,lambda_init,dif,f_1,f_2,beta_0_fit,xi_fit,k_fit,lambda_fit,nlogll
5,0.057,1,0.5,0.2857142857142857,1,1,5.555083832342154,0.027390135561878394,0.4266810370826789,0.3199022169419826,107.73350851900312
10,0.057,1,0.5,0.2857142857142857,1,1,9.310608263277988,0.06671781449901541,0.15803940443402253,1.1497268022324394,108.5299093586026
15,0.057,1,0.5,0.2857142857142857,1,1,9.803687670772598,0.06964222752964828,0.6130762402755597,6.285234773644331,108.5461198298793
20,0.057,1,0.5,0.2857142857142857,1,1,22.954342701518225,0.13645496196359358,0.8801480955336358,3.8672674948443113,110.30063722369104
5,0.025,1,0.5,0.2857142857142857,1,1,5.809383261698718,0.031062474492392713,0.41559700108030373,0.3095597172303952,107.7304703930136
10,0.025,1,0.5,0.2857142857142857,1,1,9.431718127794266,0.06658800127715767,0.3119677022236667,2.8866760201783865,108.55091069447332
15,0.025,1,0.5,0.2857142857142857,1,1,9.465499546194984,0.06734509659159321,0.23527347475941635,2.115196885216883,108.5474015757004
20,0.025,1,0.5,0.2857142857142857,1,1,9.830280904294314,0.06982509274528306,0.6807164939282311,7,108.54553917977258
5,0.1,1,0.5,0.2857142857142857,1,1,5.803934550383323,0.030959976183715883,0.4157467855233339,0.3100834197398652,107.7304640214894
10,0.1,1,0.5,0.2857142857142857,1,1,9.978573270125754,0.07598495164214711,0.3342073505486345,0.20791751104250342,108.0484248121951
15,0.1,1,0.5,0.2857142857142857,1,1,10.188111402799617,0.07930496465781936,0.3620417842286855,0.201547337458107,108.09797415193871
20,0.1,1,0.5,0.2857142857142857,1,1,9.643236034380436,0.06859181886500064,0.3339947296108964,3.2617669470837334,108.54881987664265
5,0.057,2,0.5,0.2857142857142857,1,1,5.728587599491524,0.029891851422769587,0.4182651114807995,0.3130709195933473,107.73074459410661
10,0.057,2,0.5,0.2857142857142857,1,1,9.541831958992711,0.06789151242017524,0.2653848283684839,2.4726707565469397,108.54852497108885
15,0.057,2,0.5,0.2857142857142857,1,1,4.20807649720217,3.3666827744286867e-10,3,2.9525351027433553,109.75126471297665
20,0.057,2,0.5,0.2857142857142857,1,1,22.293233813549442,0.13883354244606733,0.1457270654084227,0.45919817859359324,110.84458373646814
5,0.025,2,0.5,0.2857142857142857,1,1,5.808461450715791,0.031047091458569924,0.41547522099324774,0.30968347617901554,107.73047113178134
10,0.025,2,0.5,0.2857142857142857,1,1,8.390227603577106,0.050582794220655966,3,7,110.0070013335036
15,0.025,2,0.5,0.2857142857142857,1,1,9.805142899891543,0.06966261532325745,0.5950238368456455,6.105903172354674,108.5462741504414
20,0.025,2,0.5,0.2857142857142857,1,1,9.785820315595043,0.06952356723558581,0.5530426884349989,5.642407843689922,108.5466912973418
5,0.1,2,0.5,0.2857142857142857,1,1,5.801172380227436,0.030930713478004624,0.4154283238825228,0.3101375839390724,107.73046210351188
10,0.1,2,0.5,0.2857142857142857,1,1,9.595339131612553,0.06824574239376464,0.3009297081476081,2.8850418267046662,108.54888206226767
15,0.1,2,0.5,0.2857142857142857,1,1,9.777705954024,0.06949272174451883,0.5275447312432926,5.374229484069107,108.54693717897115
20,0.1,2,0.5,0.2857142857142857,1,1,21.341375739704187,0.13141820231603923,0.696243883414403,3.4570478541638874,110.20775684530355
5,0.057,2.5,0.5,0.2857142857142857,1,1,4.147455792303046,0.002483061155903,0.5171216156779633,0.40706668335134916,107.9647021332832
10,0.057,2.5,0.5,0.2857142857142857,1,1,9.699944931658688,0.06898341384628827,0.38972808145566507,3.8825928002490113,108.54837696674947
15,0.057,2.5,0.5,0.2857142857142857,1,1,6.75696396369078,0.043420006402053846,0.37367183266287135,0.27846479076125147,107.761890932517
20,0.057,2.5,0.5,0.2857142857142857,1,1,9.832509882870951,0.06985072869121921,0.6791659395179408,7,108.54554419459687
5,0.025,2.5,0.5,0.2857142857142857,1,1,5.80949975402314,0.031065820231599553,0.4155407555000271,0.3095772664128814,107.73047026943863
10,0.025,2.5,0.5,0.2857142857142857,1,1,4.207870256979582,0,3,2.9544186025184667,109.75126472874626
15,0.025,2.5,0.5,0.2857142857142857,1,1,27.902547349669977,0.15845368888869218,0.07946172502023494,6.609147761788187e-9,108.33672729892425
20,0.025,2.5,0.5,0.2857142857142857,1,1,9.824712810110489,0.06978448789317067,0.6661079102060303,6.841972991999803,108.54566853967334
5,0.1,2.5,0.5,0.2857142857142857,1,1,6.016449270557828,0.03399846683105059,0.4080502657173281,0.3015913413734964,107.73231834052126
10,0.1,2.5,0.5,0.2857142857142857,1,1,9.647116076516879,0.06861382693138365,0.3392723729699955,3.320562877536836,108.54879300284693
15,0.1,2.5,0.5,0.2857142857142857,1,1,9.830235421471182,0.069824064411418,0.6799866548467343,7,108.54554656968483
20,0.1,2.5,0.5,0.2857142857142857,1,1,9.779682096748541,0.06951509376883583,0.5195338594295202,5.297896843684398,108.54701195937741
5,0.057,1,1,0.2857142857142857,1,1,6.405623193089392,0.03909507619724017,0.3928433847342067,0.28886058855102753,107.74383979456323
10,0.057,1,1,0.2857142857142857,1,1,9.438446604276912,0.06716857740343177,0.22236001340035896,1.9610942558923656,108.5465046857529
15,0.057,1,1,0.2857142857142857,1,1,15.568995235374969,0.10975329184674096,0.19470837509258718,1.6039232888999768,109.67896182202851
20,0.057,1,1,0.2857142857142857,1,1,5.808145230298724,0.03104014717985519,0.41544806859408,0.3097301416698335,107.7304710417917
5,0.025,1,1,0.2857142857142857,1,1,5.808925953402693,0.031057631712275643,0.4155405014627388,0.3096064128497201,107.73047030740429
10,0.025,1,1,0.2857142857142857,1,1,9.19183160549691,0.06537912347321993,0.17002212763008345,1.2526926163087544,108.53112783252865
15,0.025,1,1,0.2857142857142857,1,1,15.546663062132081,0.1082261117201617,0.48268962579873165,3.7998520821460815,109.52098011559887
20,0.025,1,1,0.2857142857142857,1,1,9.834694083718905,0.06988216851810268,0.6788799569008217,7,108.54554345675582
5,0.1,1,1,0.2857142857142857,1,1,4.030409319385814,0,0.5292572837528342,0.41792770521324063,108.01535494489598
10,0.1,1,1,0.2857142857142857,1,1,9.66792583774139,0.07324069621177766,0.3343917871329233,0.2131097020990173,108.01706232148085
15,0.1,1,1,0.2857142857142857,1,1,9.53911794819589,0.06786187518892259,0.2677181672112606,2.5027304426487818,108.54855979050356
20,0.1,1,1,0.2857142857142857,1,1,20.890579201731697,0.12941224044470545,0.9786058206419261,5.174418930803275,110.1155686629136
5,0.057,2,1,0.2857142857142857,1,1,6.12703371527069,0.03545035050717499,0.4037730598828115,0.2975439206925551,107.73459850905184
10,0.057,2,1,0.2857142857142857,1,1,9.396139058507348,0.07078949645609137,0.3366255148048632,0.2175789358239047,107.9898789279903
15,0.057,2,1,0.2857142857142857,1,1,18.6824274319617,0.12074809760276503,0.8627927807108702,4.400623665968132,109.93683160218184
20,0.057,2,1,0.2857142857142857,1,1,9.813436012177075,0.06973791749689953,0.6112735738725514,6.273335486476055,108.54612540492388
5,0.025,2,1,0.2857142857142857,1,1,7.831444045425303,0.05573149302523238,0.35833153844355675,0.24971005578263422,107.8411295635237
10,0.025,2,1,0.2857142857142857,1,1,8.821452581612947,0.06561107860444215,0.34190996395564954,0.22807551308446128,107.93300659421672
15,0.025,2,1,0.2857142857142857,1,1,9.863182435845236,0.07584094418603626,0.3520137178841514,0.20738702421885774,108.04552469901215
20,0.025,2,1,0.2857142857142857,1,1,9.832049175459108,0.07003872991293295,0.6602552127230876,6.83796904182565,108.54589433867676
5,0.1,2,1,0.2857142857142857,1,1,4.0304149889323355,0,0.5292544534868932,0.41792993191879624,108.01535494487413
10,0.1,2,1,0.2857142857142857,1,1,9.81761832198158,0.06970744556072883,0.658177861633858,6.754258740845961,108.54573574742929
15,0.1,2,1,0.2857142857142857,1,1,9.771817502167227,0.06944254667839424,0.5190136017930621,5.280302012906172,108.54703259329311
20,0.1,2,1,0.2857142857142857,1,1,9.67719455099937,0.06883749616953769,0.3660095642265596,3.6187613334447235,108.54858347622361
5,0.057,2.5,1,0.2857142857142857,1,1,9.593937905330645,0.06824649107600066,0.2979896431041707,2.853677392965687,108.5488752115736
10,0.057,2.5,1,0.2857142857142857,1,1,7.4173569580706875,0.04885412806592101,0.34333149366826066,0.2567799497833533,107.86568686685881
15,0.057,2.5,1,0.2857142857142857,1,1,9.83408209127869,0.06986507138237852,0.6795986542517223,7,108.5455444807705
20,0.057,2.5,1,0.2857142857142857,1,1,5.809602067525434,0.031066929740092168,0.41553427832259393,0.30957078535207083,107.73047027572586
5,0.025,2.5,1,0.2857142857142857,1,1,4.794522874150298,0.015315442191818565,0.4722178854150294,0.35745321220731774,107.79410875079058
10,0.025,2.5,1,0.2857142857142857,1,1,9.831395004855143,0.06985598255208524,0.6795856646698712,7,108.5455451153289
15,0.025,2.5,1,0.2857142857142857,1,1,9.806602030794906,0.06964817610474688,0.6308156063618526,6.474639291822681,108.54597251851018
20,0.025,2.5,1,0.2857142857142857,1,1,9.817324134271555,0.06971658769710846,0.6312192589602742,6.467856582025307,108.545974204048
5,0.1,2.5,1,0.2857142857142857,1,1,4.572272527547753,0.010906158818235284,0.4798266668065375,0.37473811717010963,107.83676504210553
10,0.1,2.5,1,0.2857142857142857,1,1,9.571570971690978,0.06809903395363057,0.2825647887479243,2.678799979380364,108.54877621209255
15,0.1,2.5,1,0.2857142857142857,1,1,9.233027133544354,0.06611129061833973,0.14623510437898446,1.1547019554098141,108.53362549878727
20,0.1,2.5,1,0.2857142857142857,1,1,9.831255738842515,0.0698558245660651,0.6791346456650389,7,108.54554523606204
