beta_0_init,k_init,lambda_init,f_1_init,f_2_init,dif,xi,beta_0_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,nlogll
5,1,0.5,0.3,0.4,0.2857142857142857,0,4.134029367327223,0.31904080643212474,0.3403941972823139,0.8115683479928577,0.8089095762832033,106.98496566884543
10,1,0.5,0.3,0.4,0.2857142857142857,0,4.498406866083606,5.2530332719292276e-5,6.790673097464952,0.5680806988702201,0.7761841540363288,107.53918324812825
15,1,0.5,0.3,0.4,0.2857142857142857,0,4.136924491336951,0.31492941942249225,0.3376759257139487,0.8078161019493348,0.8091727002323388,106.98491674005496
20,1,0.5,0.3,0.4,0.2857142857142857,0,30.156963375300414,2.9987595022361053,1.7524895352092733,0.999941663272184,0.3053241339679902,112.51328059073312
5,2,0.5,0.3,0.4,0.2857142857142857,0,4.499489604035192,2.205078565123831e-5,2.883496567961462,0.5677519592287997,0.7764384607700766,107.5391611657043
10,2,0.5,0.3,0.4,0.2857142857142857,0,4.030408173731412,0.529252146801357,0.41792840686977756,1,1,108.01535494475684
15,2,0.5,0.3,0.4,0.2857142857142857,0,4.1273326271493005,0.3012698808001961,0.32674866126707897,0.7956396582802501,0.7771313318013258,107.05258827213179
20,2,0.5,0.3,0.4,0.2857142857142857,0,29.945881735252883,2.9933769834041812,1.7744316422453583,1,0.3061717901771074,112.51387798858337
5,2.5,0.5,0.3,0.4,0.2857142857142857,0,4.500784454742655,4.342647534746928e-4,0.728152742319266,0.5679224447656167,0.7759892167561693,107.53922628254816
10,2.5,0.5,0.3,0.4,0.2857142857142857,0,4.081395232912428,0.4776720891311673,0.45177595626876266,1,0.7956790121249019,107.11515990606259
15,2.5,0.5,0.3,0.4,0.2857142857142857,0,5.10479020394208,2.2907678398034883,5.537028928658085,1,0.7064327739084404,109.1380891979106
20,2.5,0.5,0.3,0.4,0.2857142857142857,0,30.182574846399877,2.999913072480193,1.773972533795059,1,0.30472081718031335,112.51270662962204
5,1,1,0.3,0.4,0.2857142857142857,0,4.030404636396638,0.5292546376255131,0.41792964493872875,1,1,108.01535494482431
10,1,1,0.3,0.4,0.2857142857142857,0,4.137624563610809,0.315584355361662,0.33990002850864687,0.8088972866285955,0.8087427745334206,106.98492733282025
15,1,1,0.3,0.4,0.2857142857142857,0,4.70021451400485,3,7,0.8610074026523391,0.7544102202360836,108.94150853293705
20,1,1,0.3,0.4,0.2857142857142857,0,30.443114669674387,2.998992147300114,1.7652718271767733,1,0.3032267656500427,112.51289800346245
5,2,1,0.3,0.4,0.2857142857142857,0,4.090298013976684,0.4800294241187177,0.44840105934646307,1,0.8056777112516074,107.10894873295425
