beta_0_init,k_init,lambda_init,dif,xi_fit,f_1_fit,f_2_fit,beta_0_fit,k_fit,lambda_fit,nlogll
5,1,0.5,0,0,1,1,4.030412756340533,0.5292545717070543,0.4179310378707779,108.01535494490761
10,1,0.5,0,0,1,1,4.030409106218642,0.5292523878227375,0.41793051697170236,108.0153549447725
15,1,0.5,0,0,1,1,4.030403782919125,0.5292538786404646,0.417930254319023,108.01535494490375
20,1,0.5,0,0,1,1,4.208043459820475,3,2.952508751769482,109.75126470765692
25,1,0.5,0,0,1,1,4.207388442427915,3,3.5320815483711048,109.80261639717948
30,1,0.5,0,0,1,1,25.748275299920856,3,1.9079279853834574,114.92119285828406
35,1,0.5,0,0,1,1,25.814838608701024,3,1.9051885462815117,114.92119376875277
5,2,0.5,0,0,1,1,4.030414887751361,0.5292530049253843,0.41792823883828256,108.01535494477596
10,2,0.5,0,0,1,1,4.030413375890504,0.5292507367742669,0.41792672822666477,108.01535494495168
15,2,0.5,0,0,1,1,4.192006799521131,2.679569318520742,2.629356232545227,109.72591080845706
20,2,0.5,0,0,1,1,4.207851207993626,3,2.9544020354164413,109.75126472905681
25,2,0.5,0,0,1,1,25.748790528172474,3,1.907863278131824,114.92119282554818
30,2,0.5,0,0,1,1,27.329321375491208,3,1.8461958639079308,114.92174042458855
35,2,0.5,0,0,1,1,25.748262307488964,3,1.9079267523625218,114.92119285825002
5,2.5,0.5,0,0,1,1,4.030411407299445,0.529256729175869,0.4179295135101576,108.01535494490032
10,2.5,0.5,0,0,1,1,4.030415680923598,0.5292553970413703,0.4179287071863381,108.01535494493663
15,2.5,0.5,0,0,1,1,4.030410525210012,0.52925907033247,0.4179291930903838,108.01535494518271
20,2.5,0.5,0,0,1,1,20.67318413850466,3,2.1752130133309886,114.92192906262206
25,2.5,0.5,0,0,1,1,25.748637382619673,3,1.9078515880690847,114.9211928259124
30,2.5,0.5,0,0,1,1,25.814955225121928,3,1.905179776204819,114.9211937687442
35,2.5,0.5,0,0,1,1,25.74565070923106,3,1.907614468471414,114.92119289400858
5,1,1,0,0,1,1,4.0304139715471425,0.5292602626722258,0.4179272771577395,108.01535494559
10,1,1,0,0,1,1,4.030413372795211,0.5292501142817718,0.4179313296990586,108.01535494493137
15,1,1,0,0,1,1,4.208045995031252,3,2.9525150189725107,109.75126470790968
20,1,1,0,0,1,1,4.207858390737464,3,2.954408217157754,109.75126472871297
25,1,1,0,0,1,1,25.814761250263004,3,1.9051900688856158,114.92119376872947
30,1,1,0,0,1,1,25.814952865037505,3,1.9051814088180428,114.92119376871824
35,1,1,0,0,1,1,25.744769767479866,3,1.9075445300816622,114.92119293540819
5,2,1,0,0,1,1,4.030401704718868,0.5292564157953774,0.4179276076349893,108.01535494503025
10,2,1,0,0,1,1,4.2080249509653465,3,2.9524948198624132,109.75126470807346
15,2,1,0,0,1,1,4.208041649197456,3,2.952507348469243,109.75126470759162
20,2,1,0,0,1,1,4.20784877106588,3,2.954400198140994,109.7512647292909
25,2,1,0,0,1,1,25.81477204253839,3,1.905189129390748,114.92119376875621
30,2,1,0,0,1,1,25.814681768585054,3,1.9051877638058485,114.92119376873549
35,2,1,0,0,1,1,25.750175743292978,2.9999999892323106,1.9079730540939677,114.9211928388689
5,2.5,1,0,0,1,1,4.030416398011566,0.5292529094947862,0.41792875830075504,108.01535494483024
10,2.5,1,0,0,1,1,4.208035502697836,3,2.9525057102549352,109.75126470791467
15,2.5,1,0,0,1,1,4.208034754047656,3,2.9525077590976188,109.75126470828589
20,2.5,1,0,0,1,1,4.2080391182322305,3,2.9525076318713346,109.75126470777896
25,2.5,1,0,0,1,1,4.20803862744674,3,2.9525067065807606,109.75126470750502
30,2.5,1,0,0,1,1,29.158873756289566,3,1.8341373897416138,114.92463480570105
35,2.5,1,0,0,1,1,25.748176391231816,3,1.90791991863182,114.9211928582487
