beta_0_init,xi_init,k_init,lambda_init,f_1_init,f_2_init,dif,beta_0_fit,xi_fit,k_fit,lambda_fit,f_1_fit,f_2_fit,nlogll
5,0.057,1,0.5,0.3,0.4,0.2857142857142857,3.6315893920723235,0.003841611979004769,0.5668270105570253,0.28563914316058703,0.9999133177956039,0.7310612396456269,106.98215991686071
10,0.057,1,0.5,0.3,0.4,0.2857142857142857,9.870305706524956,0.08408137563020149,0.4524707925439596,0.09390746464519856,0.725682827757997,0.8868014228085273,106.8947281567097
15,0.057,1,0.5,0.3,0.4,0.2857142857142857,12.228307346368485,0.1036897415717088,1.5775187427766642,0.475658323588547,0.996755946223647,0.43626502311667403,110.03797293063712
20,0.057,1,0.5,0.3,0.4,0.2857142857142857,19.608613334841763,0.14054409125487333,0.4516577036922421,0.06245452844484764,0.6963619306033372,0.9989989712520813,106.81820029868467
5,0.025,1,0.5,0.3,0.4,0.2857142857142857,4.898191907629537,0.02874881770309229,0.5486167922962637,0.21745153036261972,0.9361991561172076,0.7525105389995113,107.02881669718101
10,0.025,1,0.5,0.3,0.4,0.2857142857142857,3.5343252144818464,0.0014188355390743687,0.5631634103022274,0.29064006361877137,1,0.7304183554555581,106.98285876339857
15,0.025,1,0.5,0.3,0.4,0.2857142857142857,14.29769007634961,0.11427966218789784,0.4548354293568083,0.07317218995861383,0.7022190399089807,0.9591865267947453,106.82137158048346
20,0.025,1,0.5,0.3,0.4,0.2857142857142857,19.01924562837359,0.14233048905181112,0.5095458663772721,0.13020144335958656,0.9969726490459008,0.8118910661414294,108.37348156930766
5,0.1,1,0.5,0.3,0.4,0.2857142857142857,5.32269009446883,0.036425579444130135,0.5846630042026758,0.22669366577158423,0.9991301667527509,0.7419319085800706,107.08193161152072
10,0.1,1,0.5,0.3,0.4,0.2857142857142857,9.972254311449003,0.08497696860894,0.45413414269938346,0.09394485945710318,0.7269654951924329,0.8879885965942225,106.89214471924905
15,0.1,1,0.5,0.3,0.4,0.2857142857142857,15.611538791077951,0.12140718210507578,0.45336694846980485,0.06898456811903125,0.697090174745273,0.9788330489716691,106.81155441286383
20,0.1,1,0.5,0.3,0.4,0.2857142857142857,17.729675490023,0.13193898374112267,0.4548051322087977,0.06458298215194033,0.6936610582685226,0.998802268954604,106.80416457140413
5,0.057,2,0.5,0.3,0.4,0.2857142857142857,4.387692305389059,0.019874525583224653,0.5697932908461409,0.24818704309130318,0.9842759428174052,0.7382551476522861,107.00894101464192
10,0.057,2,0.5,0.3,0.4,0.2857142857142857,9.5815624579323,0.0816931224108125,0.4533054678151788,0.09613391359001194,0.7279338774353208,0.881418145450431,106.90242544486424
15,0.057,2,0.5,0.3,0.4,0.2857142857142857,17.644183009265348,0.13388260852084438,1.657196916398254,0.43918865815279906,1,0.3984542671826629,110.35225699957287
20,0.057,2,0.5,0.3,0.4,0.2857142857142857,7.753614460891695,0.06790922237241223,0.5548846519498346,0.184231514733106,0.9990616245685617,0.7659807629069186,107.3436320416757
5,0.025,2,0.5,0.3,0.4,0.2857142857142857,5.111723937782033,0.033004869319428753,0.5821463486354692,0.22919693217190473,0.9906262887099482,0.7441149184708993,107.05853899052502
10,0.025,2,0.5,0.3,0.4,0.2857142857142857,8.528309273463723,0.07641944820602593,0.5739958097341407,0.17459889622313793,0.9838278052184188,0.7783896754271877,107.37477474037573
15,0.025,2,0.5,0.3,0.4,0.2857142857142857,3.6423543922911845,0.00410332758349774,0.5674639861425346,0.28516923871246025,0.9999999903188126,0.7307208963000864,106.98212624094509
20,0.025,2,0.5,0.3,0.4,0.2857142857142857,19.17454950946595,0.1430753250628037,0.5113990966010988,0.130548090901058,0.9999548872144609,0.80966368883569,108.40465162147504
5,0.1,2,0.5,0.3,0.4,0.2857142857142857,5.482530139434419,0.03896111486529395,0.5845102027313852,0.22285595004165737,1,0.7445136731101825,107.09737857395353
10,0.1,2,0.5,0.3,0.4,0.2857142857142857,12.612607223520019,0.10680820821058001,0.5218587856512703,0.11141999375037345,0.8248720483638807,0.888209146201334,107.06473762614677
15,0.1,2,0.5,0.3,0.4,0.2857142857142857,16.69752436575821,0.1269482289318051,0.45486852105492614,0.06639842668665691,0.6944506679611274,0.9925321564273971,106.80623865032992
20,0.1,2,0.5,0.3,0.4,0.2857142857142857,5.556936788296972,0.03869612088972875,0.5176043774034094,0.1807176805352957,0.8691005570124275,0.7772872110493361,107.03027346732574
5,0.057,2.5,0.5,0.3,0.4,0.2857142857142857,5.13326015677862,0.03344452007088945,0.5852456552267438,0.2312920770962999,1,0.7411532653039817,107.06564315274301
10,0.057,2.5,0.5,0.3,0.4,0.2857142857142857,11.070931491298403,0.09800625300872404,0.5687550382000762,0.16094225495207043,1,0.7786549066797781,107.68769040337565
15,0.057,2.5,0.5,0.3,0.4,0.2857142857142857,11.69989769417882,0.09798721369904748,0.455398450895127,0.08378526030367574,0.7147294361989677,0.9187607712092316,106.85538915110175
20,0.057,2.5,0.5,0.3,0.4,0.2857142857142857,18.407939932262032,0.13965560668448565,0.5147960236946858,0.1320224783791216,0.9987744097006659,0.8103481621870712,108.33844017707214
5,0.025,2.5,0.5,0.3,0.4,0.2857142857142857,3.513921726981973,5.460866847002596e-4,0.5462080297803247,0.2818922886803836,0.971459394665712,0.7337975475377314,107.00150752749875
10,0.025,2.5,0.5,0.3,0.4,0.2857142857142857,10.534924549515752,0.09368698750134102,0.5674599585297643,0.16113921926616892,0.9884473377795553,0.783564537261311,107.58691412151154
15,0.025,2.5,0.5,0.3,0.4,0.2857142857142857,3.636613467360626,0.0039435441941112126,0.5660954030168945,0.28501723967384407,0.9982292065572584,0.7308550151760069,106.9829934121902
20,0.025,2.5,0.5,0.3,0.4,0.2857142857142857,3.4868399831859724,0,0.5482805832252406,0.2846359534518242,0.9741725109647204,0.7324610216568295,107.00024377358561
