beta_0_init,xi_init,f_1_init,f_2_init,dif,k,lambda_,beta_0_fit,xi_fit,f_1_fit,f_2_fit,nlogll
5,0.057,0.3,0.4,0.2857142857142857,0,0,4.297311383190148,0,0.764951273095332,0.5570425197108719,112.38970945441147
10,0.057,0.3,0.4,0.2857142857142857,0,0,10.03228273021983,0.07564168492269213,0.25149638879105074,0.49131061705648454,116.75361101790666
15,0.057,0.3,0.4,0.2857142857142857,0,0,15.037203357751737,0.10848191766690493,0.20998608023149823,0.4204746120579349,117.2215374875425
20,0.057,0.3,0.4,0.2857142857142857,0,0,4.295626930879548,1.6563587649275436e-5,0.7661264261876386,0.556013931498007,112.39019620721687
5,0.025,0.3,0.4,0.2857142857142857,0,0,4.2978219810390055,0,0.7648261214902885,0.5567871828466557,112.38970710008559
10,0.025,0.3,0.4,0.2857142857142857,0,0,9.933057578606928,0.074823377372122,0.2533039365752362,0.4945947471738927,116.76662233328138
15,0.025,0.3,0.4,0.2857142857142857,0,0,14.962753077724305,0.10800509375933925,0.20935718061831227,0.42035578715248595,117.21051901108218
20,0.025,0.3,0.4,0.2857142857142857,0,0,19.999035349720742,0.13115378819807977,0.19044786167783878,0.4134746091867425,117.68656203764576
5,0.1,0.3,0.4,0.2857142857142857,0,0,4.298641433683252,0,0.7648453287125765,0.5566628285106867,112.38969335044476
10,0.1,0.3,0.4,0.2857142857142857,0,0,10.878114865344763,0.08241275935367724,0.24105750027032907,0.4672616101977426,116.70331232257541
15,0.1,0.3,0.4,0.2857142857142857,0,0,15.07440254856047,0.10866086627063427,0.2096255962321081,0.4204734513454693,117.22695308424558
20,0.1,0.3,0.4,0.2857142857142857,0,0,6.100251982437485,0.03998557847166416,1,0.4982768967027664,112.52765037634775
5,0.057,0.5,0.4,0.2857142857142857,0,0,4.298377721900627,0,0.7650377885544917,0.556478335058639,112.38970204076833
10,0.057,0.5,0.4,0.2857142857142857,0,0,10.879239530428503,0.08239031093588993,0.240903272643911,0.4672638764511555,116.70331641751633
15,0.057,0.5,0.4,0.2857142857142857,0,0,5.785044868731253,0.03421858162081902,0.9528458924421319,0.5064629948840697,112.4744793005877
20,0.057,0.5,0.4,0.2857142857142857,0,0,6.101021830614797,0.039892614784869516,1,0.4980546243508454,112.5276927362258
5,0.025,0.5,0.4,0.2857142857142857,0,0,4.298377721900627,0,0.7650377885544917,0.556478335058639,112.38970204076833
10,0.025,0.5,0.4,0.2857142857142857,0,0,6.098565785457436,0.039939406932717816,1,0.49828125422313296,112.52767632653317
15,0.025,0.5,0.4,0.2857142857142857,0,0,6.101607334848248,0.0400075312843101,1,0.4982518395238309,112.52766825995761
20,0.025,0.5,0.4,0.2857142857142857,0,0,6.101576853114814,0.039903929348931444,1,0.49825439520542836,112.52771088938826
5,0.1,0.5,0.4,0.2857142857142857,0,0,4.297879549798941,0,0.765061802744148,0.5566967165389978,112.38970151082755
10,0.1,0.5,0.4,0.2857142857142857,0,0,6.098624735535324,0.03994103734982106,0.9994716970832294,0.49837023560870397,112.52702971626398
15,0.1,0.5,0.4,0.2857142857142857,0,0,5.943253150435556,0.037214116233616146,0.9763471898146363,0.5025797675195369,112.49898645299118
20,0.1,0.5,0.4,0.2857142857142857,0,0,6.0960327727679235,0.03985482287653748,1,0.4983533893418174,112.52771393656062
5,0.057,0.7,0.4,0.2857142857142857,0,0,4.297037831459155,0,0.7648109848958353,0.556865150177229,112.38970254872305
10,0.057,0.7,0.4,0.2857142857142857,0,0,6.101995966179222,0.04004619140516395,1,0.4982676840630725,112.5276779313006
15,0.057,0.7,0.4,0.2857142857142857,0,0,4.951911164278046,0.016867584182860496,0.8489935654870933,0.5351798441927569,112.42153956060088
20,0.057,0.7,0.4,0.2857142857142857,0,0,5.336087076980444,0.02544743513499391,0.8937794165042569,0.5214593438357471,112.43384272746916
5,0.025,0.7,0.4,0.2857142857142857,0,0,4.298146180934144,0,0.7647867691438829,0.5566187742855165,112.38968584528861
10,0.025,0.7,0.4,0.2857142857142857,0,0,6.098152082141579,0.039927522905098656,1,0.4981817543475686,112.5276516072234
15,0.025,0.7,0.4,0.2857142857142857,0,0,6.107415671051591,0.0400796786349014,1,0.4981259749434249,112.52772165627863
20,0.025,0.7,0.4,0.2857142857142857,0,0,19.357478531218298,0.13629524747053787,0.9804819038186416,0.4629340684955331,114.9925362084284
