beta_0_init,f_1_init,f_2_init,dif,k,lambda_,xi_fit,f_1_fit,f_2_fit,beta_0_fit,nlogll
5,0.3,0.4,0.2857142857142857,0,0,0,0.7648347817788781,0.5568248461103911,4.298993172126135,112.38967068534133
10,0.3,0.4,0.2857142857142857,0,0,0,1,0.4677054330907885,5.21264170158359,115.02378949745189
15,0.3,0.4,0.2857142857142857,0,0,0,1,0.1722088925429435,39.96261622858856,121.34326365198108
20,0.3,0.4,0.2857142857142857,0,0,0,1,0.1721632046967315,39.99252881379266,121.34302546532848
25,0.3,0.4,0.2857142857142857,0,0,0,1,0.17223042634449626,39.99976373582863,121.34295955082419
30,0.3,0.4,0.2857142857142857,0,0,0,1,0.1722177834559392,40,121.34296123486402
35,0.3,0.4,0.2857142857142857,0,0,0,1,0.17222443549006983,40,121.3429612380484
5,0.5,0.4,0.2857142857142857,0,0,0,0.7647232315023167,0.5565139507017929,4.299248111763509,112.38968705676751
10,0.5,0.4,0.2857142857142857,0,0,0,0.7646128782300483,0.556854733174174,4.298616497337683,112.38971654937062
15,0.5,0.4,0.2857142857142857,0,0,0,1,0.17221990369234852,40,121.34296122226881
20,0.5,0.4,0.2857142857142857,0,0,0,1,0.17222464295810463,40,121.34296124015896
25,0.5,0.4,0.2857142857142857,0,0,0,0.9999393387373205,0.17225579053995427,39.939236392023524,121.3434910944475
30,0.5,0.4,0.2857142857142857,0,0,0,1,0.17219748273444604,39.99922547985101,121.34296403843308
35,0.5,0.4,0.2857142857142857,0,0,0,1,0.17221791149910062,40,121.3429612337383
5,0.7,0.4,0.2857142857142857,0,0,0,0.7648712626057281,0.5569728548254892,4.296492416906676,112.38969199882165
10,0.7,0.4,0.2857142857142857,0,0,0,1,0.4678222431406416,5.213429155501883,115.02377245386191
15,0.7,0.4,0.2857142857142857,0,0,0,1,0.17221613099090216,39.99986777497169,121.3429601058961
20,0.7,0.4,0.2857142857142857,0,0,0,1,0.17221778455624587,40,121.34296123485511
