beta_0_init,xi_init,dif,k,lambda_,f_1_fit,f_2_fit,beta_0_fit,xi_fit,nlogll
5,0.057,0,0,0,1,1,8.112863814001168,0.060170963801065055,118.82337006372458
10,0.057,0,0,0,1,1,8.112886092114245,0.06017050942610321,118.82337005253011
15,0.057,0,0,0,1,1,8.119977515678805,0.0602573504737004,118.82335240832332
20,0.057,0,0,0,1,1,8.122154667858027,0.06030063896271868,118.82337646291252
25,0.057,0,0,0,1,1,8.115385726424194,0.060220333548051015,118.8233672643173
30,0.057,0,0,0,1,1,8.118688543486325,0.06024516532299905,118.82334539740216
35,0.057,0,0,0,1,1,40,0,129.46678177788095
5,0.025,0,0,0,1,1,8.112914043380592,0.060169861770748984,118.82337004803094
10,0.025,0,0,0,1,1,8.113017594865276,0.060167770682569455,118.8233700846426
15,0.025,0,0,0,1,1,8.116455457375036,0.06022626601033988,118.8233656022674
20,0.025,0,0,0,1,1,8.121700282442655,0.0602621869135426,118.82336211836059
25,0.025,0,0,0,1,1,40,0,129.46678177788095
30,0.025,0,0,0,1,1,40,0,129.46678177788095
35,0.025,0,0,0,1,1,40,0,129.46678177788095
5,0.1,0,0,0,1,1,5.891634290247442,0,121.68218694628398
10,0.1,0,0,0,1,1,8.115706324084655,0.06022900845556223,118.82334980487813
15,0.1,0,0,0,1,1,8.112905647291356,0.060170145092792865,118.82337004451213
20,0.1,0,0,0,1,1,8.112913844671162,0.06016975205766298,118.82337005583327
25,0.1,0,0,0,1,1,8.113339243632424,0.06016201276466942,118.8233707376095
30,0.1,0,0,0,1,1,8.112998934351717,0.06016849476930846,118.82337004040195
35,0.1,0,0,0,1,1,8.11299087333232,0.06016890590972889,118.8233700170013
