"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-01","1918","01","01","","11.7","","10.0","","10.9","","7.1","","0.0","","70.4","","0.0","","70.4","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-02","1918","01","02","","13.3","","10.6","","12.0","","6.0","","0.0","","0.5","","0.0","","0.5","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-03","1918","01","03","","10.6","","8.9","","9.8","","8.2","","0.0","","19.3","","0.0","","19.3","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-04","1918","01","04","","8.3","","6.7","","7.5","","10.5","","0.0","","7.9","","0.0","","7.9","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-05","1918","01","05","","8.3","","5.0","","6.7","","11.3","","0.0","","0.0","T","0.0","","0.0","T","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-06","1918","01","06","","10.0","","7.8","","8.9","","9.1","","0.0","","25.1","","0.0","","25.1","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-07","1918","01","07","","8.9","","6.1","","7.5","","10.5","","0.0","","2.3","","0.0","","2.3","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-08","1918","01","08","","7.2","","5.6","","6.4","","11.6","","0.0","","2.8","","0.0","","2.8","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-09","1918","01","09","","2.2","","-2.8","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-10","1918","01","10","","1.1","","-0.6","","0.3","","17.7","","0.0","","0.0","","7.6","","7.6","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-11","1918","01","11","","3.3","","0.6","","2.0","","16.0","","0.0","","19.1","","0.8","","19.8","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-12","1918","01","12","","6.1","","1.7","","3.9","","14.1","","0.0","","9.7","","0.0","","9.7","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-13","1918","01","13","","5.0","","1.7","","3.4","","14.6","","0.0","","0.3","","0.0","","0.3","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-14","1918","01","14","","6.7","","2.8","","4.8","","13.2","","0.0","","14.7","","0.0","","14.7","","","","","","",""
"-123.12","49.28","VANCOUVER PMO","1108465","1918-01-15","1918","01","15","","7.2","","2.8","","5.0","","13.0","","0.0","","1.0","","0.0","","1.0","","","","","","",""
